weight_g,ram,ram1,android,display,internal,intenal1,camera,speed1,speed,month number,concat,timestamp,approx_price_EUR
118,512,0.5,2.2,3.7,2,2,5,800,800,12,2010 12,14,150
169,512,0.5,2.2,3.7,8,8,5,#VALUE!,#VALUE!,12,2010 12,14,110
119.8,512,0.5,2.2,4,Err:502,Err:502,5,#VALUE!,#VALUE!,12,2010 12,14,200
139,512,0.5,2.2,4,8,8,8,#VALUE!,#VALUE!,12,2010 12,14,150
139,512,0.5,2.2,4,8,8,8,#VALUE!,#VALUE!,12,2010 12,14,150
130,512,0.5,2.3,3.8,Err:502,Err:502,5,800,800,12,2010 12,14,100
129,512,0.5,1.5,4,16,16,5,#VALUE!,#VALUE!,12,2010 12,14,170
105,256,0.25,1.5,2.8,256,0.25,3.15,ST Ericsson PNX6715 416,416,2,2010 2,15,70
130,256,0.25,1.6,3.1,512,0.5,5,528,528,2,2010 2,15,100
120,Err:502,Err:502,1.6,2.5,128,0.125,5,600,600,2,2010 2,15,70
88,Err:502,Err:502,2.1,2.5,128,0.125,5,600,600,2,2010 2,15,70
125,256,0.25,2.1,3.2,512,0.5,3.15,600,600,2,2010 2,15,80
152,Err:502,Err:502,2.1,2.8,194,0.189453125,2,#VALUE!,#VALUE!,2,2010 2,15,
136,256,0.25,2.1,3.5,4,4,3.15,600,600,2,2010 2,15,
126,384,0.375,2.1,3.2,512,0.5,5,600,600,2,2010 2,15,120
104,Err:502,Err:502,2.1,2.6,Err:502,Err:502,3.15,#VALUE!,#VALUE!,2,2010 2,15,70
110,Err:502,Err:502,2.1,2.8,Err:502,Err:502,3.15,#VALUE!,#VALUE!,2,2010 2,15,90
104,Err:502,Err:502,2.1,2.8,Err:502,Err:502,3.15,#VALUE!,#VALUE!,2,2010 2,15,70
156,384,0.375,2.1,3.7,16,16,8,720,720,2,2010 2,15,260
136,256,0.25,2.1,3.5,4,4,3.15,#VALUE!,#VALUE!,2,2010 2,15,340
110,Err:502,Err:502,2.1,2.8,300,0.29296875,3.15,600,600,2,2010 2,15,
135,576,0.5625,2.1,3.7,512,0.5,5,#VALUE!,#VALUE!,2,2010 2,15,140
135,512,0.5,bas,3.5,512,0.5,5,768,768,2,2010 2,15,90
153.5,Err:502,Err:502,1.5,3.5,40,40,3.15,#VALUE!,#VALUE!,2,2010 2,15,470
104,Err:502,Err:502,2.1,3.5,Err:502,Err:502,5,Marvell PXA310 624 ,624,3,2010 3,16,230
126,Err:502,Err:502,2.1,3.2,180,0.17578125,3.15,800,800,3,2010 3,16,310
170,512,0.5,2.1,4.3,1,1,8,#VALUE!,#VALUE!,3,2010 3,16,90
119,512,0.5,OS,4,43473,42.4541015625,5,#VALUE!,#VALUE!,3,2010 3,16,120
139,Err:502,Err:502,1.6,3,170,0.166015625,5,#VALUE!,#VALUE!,3,2010 3,16,180
118,256,0.25,2.1,3.2,Err:502,Err:502,5,600,600,4,2010 4,17,110
,512,0.5,2.1,3.2,4,4,5,#VALUE!,#VALUE!,4,2010 4,17,310
130,Err:502,Err:502,2.1,3.7,8,8,8,#VALUE!,#VALUE!,4,2010 4,17,80
128,384,0.375,2.1,3.7,1,1,5,720,720,4,2010 4,17,100
109,128,0.125,2.1,2.8,512,0.5,3.15,#VALUE!,#VALUE!,4,2010 4,17,100
135,Err:502,Err:502,2.1,3.5,Err:502,Err:502,5,#VALUE!,#VALUE!,4,2010 4,17,
157,Err:502,Err:502,2.1,3.5,3,3,5,#VALUE!,#VALUE!,4,2010 4,17,70
,512,0.5,2.1,3.4,512,0.5,5,600,600,4,2010 4,17,330
140,512,0.5,2.1,3.7,2,2,5,#VALUE!,#VALUE!,5,2010 5,18,130
118,384,0.375,2.1,3.2,512,0.5,5,528,528,5,2010 5,18,90
155,512,0.5,OS ,4.3,6.5,6.5,8,#VALUE!,#VALUE!,5,2010 5,18,150
220,512,0.5,1.6,5,16,16,5,#VALUE!,#VALUE!,5,2010 5,18,190
109,256,0.25,1.6,2.6,512,0.5,3.15,416,416,6,2010 6,19,90
105,256,0.25,1.6,2.8,512,0.5,3.15,ST Ericsson PNX6715| 416 ,416,6,2010 6,19,70
104,168,0.1640625,2.1,3,128,0.125,3.15,600,600,6,2010 6,19,100
115,384,0.375,2.1,3.2,512,0.5,5,600,600,6,2010 6,19,150
139,256,0.25,2.1,3.7,512,0.5,8,600,600,6,2010 6,19,190
120,512,0.5,2.1,2.8,512,0.5,3.15,600,600,6,2010 6,19,90
115,256,0.25,2.1,3.2,512,0.5,3.15,528,528,6,2010 6,19,90
116,Err:502,Err:502,2.1,4,2,2,5,#VALUE!,#VALUE!,6,2010 6,19,120
,512,0.5,2.1,4,16,16,5,#VALUE!,#VALUE!,6,2010 6,19,150
155,512,0.5,2.1,4,512,0.5,5,#VALUE!,#VALUE!,6,2010 6,19,200
130,Err:502,Err:502,2.1,3.2,Err:502,Err:502,3.15,#VALUE!,#VALUE!,6,2010 6,19,170
102,Err:502,Err:502,2.1,2.8,170,0.166015625,2,600,600,6,2010 6,19,80
113,256,0.25,2.1,3.2,512,0.5,3.15,Samsung S5P6422 667 ,667,6,2010 6,19,140
109,256,0.25,2.1,3.2,512,0.5,3.15,Samsung S5P6422 667 ,667,6,2010 6,19,140
118,512,0.5,2.1,4,16,16,5,#VALUE!,#VALUE!,6,2010 6,19,170
121,Err:502,Err:502,3,4,16,16,5,#VALUE!,#VALUE!,6,2010 6,19,220
725,1,1,1.6,10,43473,42.4541015625,5,#VALUE!,#VALUE!,6,2010 6,19,300
120,256,0.25,1.6,3.1,512,0.5,5,Marvell PXA935 624 ,624,7,2010 7,20,
114,256,0.25,2.1,3.2,512,0.5,3.15,600,600,7,2010 7,20,170
110,512,0.5,2.1,2.8,512,0.5,3.15,600,600,7,2010 7,20,150
114,256,0.25,2.1,3.2,512,0.5,5,600,600,7,2010 7,20,200
106.2,Err:502,Err:502,2.1,3.2,4,4,5,600,600,7,2010 7,20,
100,256,0.25,2.1,2.8,256,0.25,3.15,600,600,7,2010 7,20,180
139,Err:502,Err:502,2.2,3.2,Err:502,Err:502,3.15,#VALUE!,#VALUE!,7,2010 7,20,150
132,Err:502,Err:502,2.2,3.2,150,0.146484375,5,600,600,7,2010 7,20,100
129,512,0.5,1.6,3.2,170,0.166015625,3.15,600,600,7,2010 7,20,100
