ram1,android,weight_g,speed final,display,camera,intenal1,approx_price_EUR
-1,2.2,132,0.6,3.2,5,0.146484375,100
0.5,2.2,129,0.6,3.2,3.15,0.166015625,100
-1,1.6,114,-1,3.2,5,-1,140
-1,2.1,131,11,3.7,5,8,220
-1,2.2,169,1,3.7,5,8,180
-1,-1,136,-1,3.5,5,0.1953125,130
-1,2.1,123,1,4,5,16,200
0.5,2.1,118,0.8,3.7,5,2,110
0.25,2.2,94,0.6,2.8,3.15,0.5,100
0.25,2.2,102.1,0.528,2.8,3.15,0.5,60
-1,2.2,380,1,7,3.15,2,150
0.5,2.2,184.3,0.8,3.7,5,4,420
0.75,2.2,164,1,4.3,8,1.5,150
0.5,2.2,180,0.8,3.7,5,1.5,100
0.5,2.2,169,1,3.7,5,8,170
0.5,2.2,380,1,7,3.15,16,150
0.25,2.1,158,0.6,3.2,3.15,0.5,70
-1,2.1,109.2,0.8,3.2,3.15,0.12109375,50
0.25,2.2,109,0.6,2.6,3.15,0.5,150
0.25,2.2,117,0.528,3.2,5,0.5,10
0.13671875,2.2,110,0.6,2.8,3.15,-1,80
0.5,2.2,155,1.2,4.3,8,1,150
0.5,2.2,118,1,4,5,1,120
-1,2.2,152,-1,3.5,3.15,-1,130
-1,2.2,143,1,4.3,8,2,130
-1,2.2,380,1.2,7,5,2,240
0.5,2.2,109,1,4,5,2,110
0.5,2.2,168,1,4.3,-1,8,190
0.5,2.2,108,0.6,3.2,5,0.5,120
0.75,2.2,163.9,1,4.3,8,4,120
0.5,2.2,130,0.8,3.6,5,2,120
-1,2.2,172,1,4.3,5,16,80
1,2.2,135,1,4,5,16,170
0.2734375,2.2,108,0.6,3.3,5,0.15625,120
0.271484375,2.2,102,0.8,3.2,3.15,0.154296875,110
0.375,2.2,105,0.6,3.1,3.15,0.15625,90
-1,2.2,139,1.2,4.5,8,16,130
0.75,2.2,164,-1,4.3,8,4,230
0.5,2.2,158,1,4.3,8,16,250
0.271484375,2.3,113,0.8,3.5,5,0.154296875,90
1,2.3,135,1,4,5,16,190
