ram1,android,weight_g,speed final,display,camera,intenal1,approx_price_EUR
0.5,2.3,122,0.832,3.5,5,4,110
0.5,2.3,122,0.832,3.5,5,3,120
0.5,2.3,114.2,0.8,3.2,3.15,4,120
-1,2.3,114.9,1,3.5,3.15,1,80
1,2.3,149,1.5,4.3,12,11,290
1,2.3,149,1.5,4.3,12,11,280
0.5,2.3,110,1,3.5,5,8,160
-1,2.3,125,0.6,3.5,3.15,0.5,170
0.5,2.3,131.5,0.8,4,3.15,-1,80
0.5,2.3,120,0.8,3.5,5,4,110
0.5,2.3,129.7,1,4,8,1,230
1,4,-1,1.5,4.5,5,8,250
2,4,145,1.5,4.7,8,16,210
0.5,4,129.7,1,4,8,0.5,210
1,4,125,1.2,4.3,8,-1,210
1,4,134.1,1.5,4.8,8,16,340
1,4,95,1.5,3.7,8,4,220
1,4,127,1.5,4.6,13,16,290
0.5,4,100,0.6,3.5,5,4,120
1,4,119.5,1.7,4.3,8,16,180
1,4,147,1.5,4.3,12,16,230
1,4,132,1.2,4,8,8,270
1,4,133,1.4,4.8,8,16,190
-1,2.3,112,1,3.2,2,0.15625,70
-1,2.3,120,0.65,3.5,2,0.17578125,70
0.75,2.3,125,1,4,8,2,150
0.5,2.3,71,1,4,5,0.5,150
0.5,2.3,130,1,4,5,4,80
0.5,2.3,125,1,4,8,4,150
-1,2.3,79,0.65,2.8,3.15,-1,60
-1,2.3,110,1,4,5,0.1455078125,90
0.5,2.3,140,0.8,3.5,5,0.146484375,110
0.5,2.3,136,1,4,5,1,100
0.5,2.3,120,0.832,3.2,3.15,1,70
0.5,4,118,1,4,5,4,200
0.5,4,119,1,4,5,4,150
0.5,4,114,1,4,5,4,160
1,4,138.5,1.5,4.7,8,16,200
0.5,4,71,1,3.5,3.2,0.25,100
0.5,4,110,0.8,3.5,5,4,150
2,4,133,1.5,4.8,8,16,310
2,4,134,1.5,4.8,8,16,300
0.5,4,99.4,0.8,3.2,3.15,2.9,90
0.5,4,154.8,1,4,5,4,150
1,4,125,1.2,4.3,8,4,210
1,4,125,1.2,4.3,8,4,210
1,4,125,1.5,4.3,8,16,100
0.5,4,99.4,0.8,3.2,3.15,2.9,80
1.5,2,4.1,133.2,1.5,4.8,8,43
1,4.1,340,1.2,7,1.2,8,150
0.5,2.3,130,1,3.7,5,1,160
-1,2.3,115,1,2.7,5,0.2802734375,190
0.5,2.3,137,1,3.8,5,1,130
-1,2.3,-1,0.65,3.5,3.15,0.21484375,90
0.25,2.3,110,0.8,3.5,3.15,0.5,80
-1,2.3,110,0.832,4,5,-1,130
1,4,143,1,4.3,8,4,280
0.5,4,120,1,4.3,8,4,170
0.75,4,120,1,4,5,4,110
1,4,151,1.5,4.3,8,4,340
-1,4,112,0.85,3,2,4,100
1,4,145,1,4.3,5,4,140
0.5,4,-1,1,4.3,8,4,200
1,4,370,1.2,7,3.15,8,150
1,4,130,1.2,4.3,8,8,260
1,4,170.1,1.5,4.3,8,8,220
1,4,140,1.5,4.5,8,8,220
-1,2.3,114,0.65,2.8,2,0.146484375,50
-1,2.3,-1,0.8,3.2,3.15,-1,70
-1,2.3,103,0.832,2.8,2,3,90
-1,2.3,142,1,4.3,8,1.4,100
1,2.3,185,1.4,4,5,4,290
1,2.3,140,1.4,4,5,4,290
0.5,2.3,80,0.8,3.5,5,0.13671875,100
0.25,2.3,-1,0.8,3.7,5,-1,120
0.5,2.3,100,0.832,3.5,2,0.5,80
-1,2.3,-1,1,3.9,5,-1,150
0.5,2.3,-1,0.8,3.5,2,-1,60
1,4,143,1,4.3,8,4,250
-1,4,150,1,4,5,3,150
-1,4,139,1,4,8,-1,100
0.5,4,155,1.2,4.3,5,4,210
1,4,115,1,4.3,5,4,200
1,4,116,1,4.3,5,4,220
0.5,4,125,0.8,3.5,3.15,4,110
0.5,4,130,1,4,5,4,110
0.5,4,196,1,5,5,4,280
1,4,132,1.2,3.5,5,8,110
1,4,149,1.7,4,8,4,190
1,4,140.8,1.6,4.3,8,4,430
0.75,4,114,1,4,5,4,190
1,4,145,1,4.3,5,4,160
0.5,4,120,0.8,4,5,4,110
1,4,-1,1.2,10,-1,8,170
0.5,4,168,1,5,5,4,160
1,4,585,1.3,9.4,8,16,260
1,4,570,1.3,9.4,8,16,190
1,4,345.7,1.2,7,3.15,8,200
2,4,600,1.4,10,5,16,320
2,4,597,1.4,10,5,16,350
0.5,4,118.4,1,4.3,8,4,200
0.75,4,145,1.2,4.5,8,4,100
1,4,193.5,1.4,5,8,8,290
1,4,168,1.5,5,8,32,210
0.75,4,119.1,1,3.5,3.15,2,100
1,4,134,1.2,4,3.15,4,150
1.5,1,4,127,1.5,4.5,13,45
1.5,1,4,139,1.5,4.5,13,45
1,4,125,1,4.7,5,4,170
0.5,4,124,1,4,5,4,140
1,4,120,1.5,4.3,13,8,230
1,4,144,1.7,4.3,12,32,240
1,4.1,300,1.4,4.8,16.3,4,250
2,4.1,145,1.5,4.3,8,16,250
2,4.1,183,1.6,5.5,8,16,300
1.5,2,4.1,145,1.5,4.7,13,45
0.25,2.3,-1,1,4,2,0.126953125,90
0.5,2.3,93.8,1,3.5,3.15,0.25,70
-1,2.3,-1,1,3.5,3.15,-1,70
1,4,575,1.5,8.9,1.3,-1,380
1,4,567,1.5,8.9,1.3,16,200
1,4,395,1.2,7,1.3,16,150
0.5,4,388,1,7,3.15,0.5,70
0.5,4,340,1.2,7,-1,4,70
-1,4,-1,1,7,-1,-1,100
1,4,147,1.5,4,5,8,150
0.5,4,205,1,5,5,4,180
1,4,110,1.5,4.5,8,4,380
0.5,4,130,1,4,5,4,190
2,4,147.1,1.5,4.7,8,16,250
0.5,4,-1,1,7,-1,4,90
-1,4,145,1,4.5,8,-1,130
0.5,4,138,1,4,5,4,190
1,4,168.1,1.5,5,8,32,190
0.75,4,120,1,4.3,5,4,120
1,4,128,1.2,4.3,5,4,180
1,4,126,-1,4.3,8,8,180
2,4,159,1.5,5,8,-1,180
1,4,126,1.5,4.3,8,8,250
1,4,139,1.2,4,5,4,150
1,4,132,1.5,4.3,8,8,230
1,4,157,1.5,4.7,8,16,270
1,4,146,1.5,4.7,8,16,250
1,4,126,1.5,4.3,8,8,250
1,4,146,1.5,4.7,8,16,250
2,4.1,131,1.4,4.8,8,16,320
0.25,4.2,110,1,3.5,3.15,0.5,70
0.25,2.3,118,1,3.5,2,0.5,100
-1,2.3,109,1,3.5,3.15,0.126953125,70
-1,2.3,89,1,3.5,-1,-1,50
-1,2.3,98,1,3.5,3.15,-1,70
0.5,2.3,-1,1,4,5,0.5,70
0.5,2.3,134,1,4,3.15,0.5,90
1,4,140,1.2,4.3,8,4,180
1,4,390,1,7,-1,4,100
0.5,4,114,1,4,5,4,150
-1,4,-1,-1,4.5,8,-1,150
0.5,4,132,1.2,3.5,5,4,100
1,4,145,1.4,4.5,8,8,250
1,4,196.3,-1,5.3,8,16,190
1,4,400,1,7,3.15,16,150
1,4,168.5,1.2,4,5,4,270
0.5,4,155,1.2,4.5,5,4,120
0.5,4,140,1,4.5,8,4,230
1,4,135,1.5,4.8,12.6,16,370
0.5,4.1,320,1.2,7,-1,8,100
1,4.1,350,1.6,7,3,4,140
1,4.1,400,1.6,8,2,8,140
1,4.1,350,1,7,-1,4,100
1,4.1,350,1.6,7,2,8,110
1,4.1,115,1.2,4.6,8,16,270
1,4.1,109,1,4.6,8,4,230
0.5,4.1,122,1,3.5,3.15,4,100
0.5,4.1,136.5,1,4,5,4,140
0.5,4.1,139,1,4.5,5,4,150
1,4.1,135,1.2,5,8,4,350
1,4.1,-1,1.2,5,12,4,620
1,4.1,135,1.2,5,8,4,220
1,4.1,370,1,7,1,8,110
2,4.1,170,1.5,5,13,32,310
0.5,4.1,150,1.2,4.5,5,4,100
1,4.1,-1,1.2,4.5,5,4,150
1,4.1,176,1.2,5,8,4,230
-1,4.1,-1,-1,10,3.15,-1,180
0.5,4.1,-1,1,4,3.15,4,130
2,4.1,110,1.7,5,13,16,430
1,4.1,339,1.2,7,5,16,180
1,4.1,340,1.2,7,-1,4,150
2,4.1,198,1.5,6.1,8,8,230
1,4.1,130,1,4.5,5,4,170
1,4.1,139.1,1.2,4.5,5,8,180
1,4.1,148.5,1,4,5,4,190
1,4.1,134,1.4,4.6,8,8,110
1,4.1,156,1.2,5,8,4,230
1,4.1,121,1.2,4.3,8,8,210
2,4.1,146,1.5,5,13.1,16,270
2,4.1,151,1.5,5,13,16,260
2,4.2,162,2,5.5,13,16,360
1,4.1,338,1.2,7,2,8,110
0.5,4.1,282,1.5,7,-1,8,70
1,4.1,150,1.2,5,8,8,250
1,4.1,161,1,5.5,8,8,240
0.5,4.1,110,-1,3.2,3.15,4,70
0.5,4.1,126,1,4,3.15,4,120
-1,4.1,118.9,0.85,3.5,3,4,80
-1,4.1,118.2,0.85,3.5,3,4,70
0.5,4.1,121,1,4,2,4,90
1,1,4.1,161,1,5.5,8,48
2,4.2,-1,1.5,5,13,32,440
1,4.2,-1,1.3,4,5,4,140
0.5,4.2,123,1.3,4,2,4,100
0.5,4.2,150,1.3,4.5,3.15,4,110
0.5,4.2,-1,1.3,4,5,4,60
0.5,4.2,175,1,5,3.15,4,90
0.5,4.2,175,1,5,3.15,4,90
1,4.2,605,1.2,10,5,16,220
1,4.2,401,1.2,8,5,16,190
1,4.2,-1,1.5,5,12,4,180
2,4.2,-1,1.5,5,13,32,200
1.5,4.2,179,1.7,3.7,8,16,590
-1,4.2,132.5,1.2,4.3,5,4,150
-1,4.2,108,-1,-1,3.15,-1,70
1,4.2,140,1.5,4.3,8,8,190
0.5,4.2,-1,1.3,4.5,5,4,80
0.5,4.2,-1,1.3,4,3.15,4,80
1,4.2,151.3,1.2,4.5,8,4,120
2,4.2,-1,1.5,5,13,16,240
0.5,4.2,-1,1.2,4.5,5,4,90
0.25,4.2,-1,1,3.5,3.15,0.5,50
2,4.2,292,2,8,5,16,130
2,4.2,234,1.6,7,3.15,16,100
2,4.2,177,2.2,6,13,32,360
0.5,4.2,120,1.3,4,3.15,4,70
1.5,4.2,134.2,1.7,4.5,5,8,210
1,4.2,121.9,1.4,4,5,8,180
1,4.2,138,1.2,4.7,8,4,120
3,4.3,154,2.3,5.7,13,32,680
2,4.3,217,1.7,5.9,4,16,370
2,5,130,2.3,4.9,8,16,260
0.5,4,-1,1,3.5,3.15,4,50
0.25,4.1,-1,1,4,2,0.5,60
1,4.1,-1,1.2,4.5,5,4,110
1,4.1,116,1.2,4,5,4,90
1,4.1,130,1.2,5,8,16,310
1,4.1,135,1.2,4.5,8,4,150
1,4.1,149,1.2,5,8,8,250
1,4.2,147.7,1.5,4.5,8,16,270
2,4.2,129.4,1.5,5,13,32,360
0.5,4.2,-1,1,3.5,2,-1,80
1,4.2,158,1.5,5,12,16,210
1,4.2,-1,1.5,5,13,16,180
2,4.2,200,1.5,5,13,16,340
1,4.2,180,1.2,5.5,13,8,160
1,4.2,402,1,7,-1,8,90
1,4.2,645.4,1,9.7,2,8,160
1,4.2,119,1.2,4.5,13,4,200
1,4.2,130,1.2,4.5,5,4,270
1,4.2,-1,1.3,5,5,4,90
0.75,4.2,118,1.2,4,5,4,130
2,4.2,126,2.3,5,13,16,290
2,4.2,120,1.7,4.7,13,16,230
2,4.3,145.2,2.2,5.5,13,16,480
1.5,4.3,163,1.2,5.2,8,8,180
1,4.3,143,1.2,4.5,5,8,130
1,-1,339.9,1.2,7,-1,8,110
1,-1,130,1.2,4.3,8,8,240
0.25,2.3,130,1,3.5,-1,0.5,60
1,4.1,130,1.2,4.3,8,8,190
1,4.1,154,1.2,4.5,8,4,220
1,4.2,125,1.5,4.7,8,16,200
2,4.2,128,1.5,5,13,32,240
0.5,4.2,155,1.3,5,5,4,90
0.5,4.2,124,1.3,4,5,4,80
0.25,4.2,113,1.2,4,2,2,50
0.5,4.2,124,1.2,4,3.15,4,70
0.5,4.2,127,1.3,4,5,4,70
1,4.2,126,1.3,4.7,8,8,270
1,4.2,147,1.3,5,8,4,150
1,4.2,170,1.3,5,5,-1,170
1,4.2,145,1.2,4.7,5,8,190
2,4.2,-1,1.5,5.7,13,16,250
1,4.2,-1,1.2,5,5,4,100
1,4.2,140,1.3,5,8,16,300
0.5,4.2,-1,1.2,4.6,5,4,160
0.5,4.2,140,1.2,5,5,4,60
-1,4.2,142.9,1.7,4.7,13,16,230
1,4.2,453.6,1.8,8,8,16,240
1,4.2,626,1.2,10,5,16,220
1,4.2,319.8,1.8,7,5,16,150
1,4.2,-1,1.3,7,5,8,110
2,4.2,162,1.7,5.5,13,8,250
2,4.2,140,1.3,5,8,8,140
1,4.2,104.5,1.3,5,8,4,120
2,4.2,147,2.3,5,13,16,410
1.5,4.2,139,1.2,4.5,5,8,170
1,4.2,320,1.8,7,5,16,190
1,4.2,170,1.3,6,8,8,220
1,4.3,105,1.4,4.3,8,16,290
2,4.3,167,1.7,5.5,13,32,250
3,4.3,146,2.3,5,13,16,450
-1,2.3,89,1,4,2,-1,60
-1,4,-1,1,4.6,5,-1,120
-1,4,-1,1,4.6,8,-1,130
1,4,243,1.5,5.7,8,4,220
1,4,148,1.5,4.5,8,16,260
1,4,145,1.5,4.5,5,4,180
-1,4,-1,1,7,2,2,100
0.5,4,-1,1,3.9,3.15,2,90
0.5,4.1,-1,1,4,5,4,220
1,4.1,140.7,1.2,4.5,8,4,170
1,4.1,340,1.2,7,3.15,8,260
1,4.1,580,1.2,10,5,16,230
0.5,4.1,210,1,5.3,8,4,160
0.5,4.1,136,1,4.5,5,4,200
1,4.1,372,1.6,7,3.15,8,130
1,4.1,150,1.2,4.5,5,4,260
0.5,4.1,140,1,4,5,4,170
-1,4.1,-1,1.2,7,2,1.65,100
0.5,4.1,110,1,3.5,3,4,100
0.5,4.1,163,1.2,5,5,4,170
1,4.1,133.2,1.5,4.7,8,8,150
1,4.1,131,1.2,4.3,5,8,220
0.75,4.1,115.5,1,4.3,8,4,150
0.5,4.1,100,1,4,5,4,120
0.5,4.1,110,1,3.2,3.15,4,90
0.5,4.1,107,1,3.2,3.15,4,90
0.5,4.1,105,1,3,2,4,60
0.75,4.1,112,1,3.2,3.15,4,90
0.5,4.1,120.6,1,3.5,5,4,120
1,4.1,143.5,1.2,4.5,8,4,100
1,4.1,143.5,1.2,4.5,8,4,130
2,4.1,189,1.7,5.7,13,16,340
2,4.1,172,1.7,5.5,13,16,400
0.5,4.1,103.3,1,4,5,4,140
2,4.1,338,1.6,8,5,16,320
2,4.1,338,1.6,8,5,16,280
2,4.1,141,1.7,5,13,-1,1000
0.75,4.1,118,1,4.3,8,4,180
2,4.1,143,1.7,4.7,4,-1,270
2,4.1,495,1.5,10,8.1,16,350
2,4.1,495,1.5,10,8.1,16,300
2,4.2,130,1.5,5,13.1,8,370
0.25,2.3,120,1,3.5,2,0.5,70
0.5,2.3,75,-1,4,3.15,0.25,70
0.25,2.3,90,1,4,3.15,0.5,70
-1,2.3,110,-1,4,3.15,0.1953125,70
1,4,173.8,1.5,4,8,16,270
1,4,140,1.5,4,5,4,120
0.5,4,-1,1.2,5,5,4,150
0.5,4,114.5,1,4,5,0.1015625,80
-1,4,149.1,1,4.5,5,2,120
-1,4,96,0.85,2.8,2,4,120
1,4,146,1.2,4.5,8,4,110
-1,4,370,1,7,2,2,130
-1,4,323,1,7,2,2.5,120
1,4,140,-1,4.7,8,8,170
1,4.1,177,1,5,12,4,200
0.5,4.1,130,1,4,5,4,90
0.5,4.1,126.5,1.2,4.3,8,4,160
1,4.1,200,1.2,5,8,4,160
1.7,1,4.1,155,1.7,4.6,8,52
1,4.1,137,1,4.3,8,8,130
1,4.1,120,1.2,4,8,4,230
1,4.1,110,1,3.5,5,4,150
1,4.2,220,1.2,5.7,12,16,230
1,4.2,145,1.2,5,13,16,230
1,4.2,125,1.2,4.7,8,4,180
0.5,4.2,106,1.2,5,13.1,4,190
1,4.2,159,1.2,5.3,8,4,250
2,4.2,132,1.6,5,13,16,460
2,4.2,130,1.9,5,13,16,330
2,4.2,130,1.6,5,13,16,320
0.25,2.3,120,1,3.5,2,0.5,80
-1,2.3,186,1,5,3.15,0.107421875,90
-1,2.3,85,1,3.9,2,0.197265625,70
0.25,2.3,122.7,1,3.5,2,0.5,70
0.25,2.3,118,0.832,3.5,2,0.5,70
0.5,4,130.5,1,4,5,4,150
0.5,4,140,1,3.5,3.15,4,150
0.5,4,131,1,4,5,4,70
0.5,4.1,170,1,5,5,4,100
1,4.1,150.5,1,4.5,8,4,220
1,4.1,123.9,1.4,4.3,5,16,200
-1,4.1,128.5,1.2,4,3.15,-1,170
-1,4.1,-1,1.2,4,5,4,150
2,4.1,145,1.7,4.3,8,16,250
1,4.1,190,1.2,5.3,8,4,130
1,4.1,170,1.2,5,8,4,130
1,4.1,129,1.2,4.3,5,8,270
0.5,4.1,-1,1.2,5,5,4,150
1,4.1,302,1.2,7,3.15,8,140
1,4.1,306,1.2,7,3.15,8,150
1,4.1,143.9,1.2,4.7,5,8,170
0.5,4.1,100.5,0.85,3,2,4,90
0.5,4.1,100.5,1,3,2,4,70
0.5,4.1,140,1.2,4.5,5,4,280
1,4.2,140,1.2,4.5,8,4,180
1,4.2,141.5,1.2,4.3,5,4,100
1.5,4.2,182,1.4,5.8,8,8,280
1.2,1,4.2,410,1.2,7.9,5,53
1.5,4.2,199,1.7,6.3,8,8,300
-1,2.3,135,-1,3.5,3.15,-1,40
0.5,4,137,1,4,5,4,100
-1,4,186,1,5,5,-1,90
-1,4,130,1,4.5,3.15,-1,70
-1,4,90,1,4,3.15,-1,50
-1,4,185,-1,5,5,0.5,100
1,4,150,1.6,4.3,5,4,140
1,4.1,-1,1.2,5.3,8,4,160
-1,4.1,450,-1,7,3.15,-1,120
1,4.1,130,1.2,4.5,8,8,290
2,4.1,141.2,1.5,4.7,13,16,270
0.5,4.1,168,1.2,5.3,8,4,190
1,4.1,119.1,1,3.8,5,4,90
1,4.1,124,1.2,4.3,5,8,160
2,4.1,138,1.5,4.5,13.1,8,230
1,4.2,143,1.2,4.7,12,-1,230
1,4.2,164,1.2,5,8,4,180
1,4.2,135,1.2,5,8,4,440
1,4.2,196.3,1.2,5.3,8,16,210
1,4.2,151.3,1.2,4.5,5,4,100
1,4.2,171.1,1.2,5,8,4,150
1.5,4.2,107,1.7,4.3,8,8,230
2,4.2,130.1,1.9,5,13,16,440
0.25,2.3,115.4,1,3.5,2,0.5,40
0.25,2.3,133,1,4,3.15,0.5,50
0.5,2.3,110,0.8,3.2,3.15,4,60
0.5,4,100,1,3.5,5,4,100
1,4,171.8,1.5,3.1,5,8,330
1,4.1,176.9,1.2,5.3,8,4,230
1,4.1,335,1.2,7,3.15,8,180
1,4.1,161,1.2,5,5,4,130
-1,4.1,143,1,4.5,5,-1,80
0.5,4.1,100,1,3.5,3.15,4,90
0.5,4.1,118,1,3.5,2,4,50
1,4.1,153.4,1.2,4,5,4,230
1,4.1,115,1,4,5,4,130
0.5,4.1,125,1,3.8,3.15,4,110
0.5,4.1,125,1,3.8,3.15,4,110
1,4.1,113.4,1.2,4,5,4,100
0.5,4.1,-1,1,5,5,4,110
1,4.1,154,1.5,5,13,8,270
1,4.1,163,1.2,5,8,4,200
2,4.1,156,1.7,4.6,4,32,300
1,4.2,195,1.5,5.7,8,8,320
1,4.2,124.9,1.2,4.7,8,4,230
2,4.2,585,1.9,10,5,-1,400
1,4.2,168,1.5,5,13,4,220
1,4.2,165,1.4,5,13,4,260
1,4.2,140,1.2,5,8,4,170
1,4.2,176,1.2,5,8,-1,190
1,4.2,115,1,4,5,4,130
1,4.2,175,1.5,5,8,8,160
-1,4.2,176,1.2,5,8,-1,220
1,4.2,302,1.2,7,2,8,100
1,4.2,302,1.2,7,5,16,130
2,4.2,210,2,6,8,16,350
2,4.2,212,2.2,6.4,8,16,280
1,4.2,147,1.2,4.5,8,4,200
1,4.2,158,1.2,5,13,16,230
2,4.2,671.3,-1,10,8,32,440
1.5,4.2,314,1.5,8,5,16,270
1,4.2,510,1.6,10,3.15,16,290
1,4.2,510,1.6,10,3.15,16,330
1,4.2,510,1.6,10,3.15,16,260
1,4.2,153,1.2,5,8,4,220
2,4.2,160,1.9,5,4,16,300
2,4.2,120,1.5,4.7,8,8,230
1.5,4.2,208,1.5,4.3,16,8,280
2,4.2,153,1.9,5,8,16,310
-1,-1,122.5,-1,1.6,-1,-1,80
0.25,2.3,-1,1,3.2,3.15,0.5,50
0.25,2.3,115.4,1,3.5,2,0.5,40
0.75,4,107,1,4,5,4,180
0.5,4.1,-1,1,3.9,5,0.5,70
0.5,4.1,-1,1.2,5,5,4,150
1,4.1,-1,1.2,4.6,8,4,120
0.5,4.1,130.4,1.4,4,5,4,140
1,4.1,167,1.5,4.7,8,4,170
1,4.1,350,1.6,7,3.15,8,150
0.5,4.2,144,1.2,4.5,5,4,100
1,4.2,147.7,1.2,4.5,5,4,150
1,4.2,170,1.2,5,5,4,150
1,4.2,-1,1.2,5.5,13,16,170
0.5,4.2,-1,1.2,4.5,5,4,130
1,4.2,158,1.5,4.7,8,4,100
0.5,4.2,120,1.3,4,5,4,120
0.5,4.2,147.7,1.2,4.5,5,4,120
1,4.2,357,1,7.9,5,8,150
2,4.2,130,1.7,4.3,10,16,180
0.5,4.2,145,1.2,4.5,5,4,100
1,4.2,122,1.4,4.3,4,16,240
2,4.2,137,1.7,5,10,16,250
2,4.2,167,1.7,5,10,16,220
0.25,2.3,118,1,3.5,2,0.5,50
0.25,2.3,105,1,3.5,2,0.5,40
0.5,4,-1,1,4.5,2,4,60
0.5,4.1,289,1.5,7,-1,8,80
1,4.1,127.6,1,4,5,4,110
1,4.1,123,1.2,4.3,8,4,180
1,4.1,169.8,1.2,4,5,8,260
1,4.1,126,1.2,4.5,5,4,200
1.4,1,4.1,120,1.4,4.7,8,57
0.5,4.2,120,1,3.5,3.15,4,100
1,4.2,110,1.2,4.7,8,4,160
0.5,4.2,96,1.3,4.3,5,4,130
1,4.2,374,1.2,7.9,5,8,190
0.5,4.2,142,1.2,4.5,5,4,120
0.5,4.2,128,1.3,5,5,4,100
0.5,4.2,128,1.3,4,3.15,4,80
0.5,4.2,-1,1.2,5,5,4,100
0.25,4.2,124,1.2,4,3.15,0.5,60
-1,4.2,100,1.2,4,5,-1,70
-1,4.2,125,1,3.5,3.15,-1,40
1,4.2,158,1.5,5,13,16,170
0.5,4.2,120,1.3,4,5,4,120
0.5,4.2,-1,1.2,5,8,4,90
0.25,4.2,-1,1.2,4,3.15,0.5,50
0.5,4.2,-1,1.2,4,3.15,0.25,60
0.5,4.2,-1,1,3.5,1.3,0.25,50
1,4.2,220,1.2,5.7,12,16,230
1,4.2,110,1.2,4.7,8,16,250
2,4.2,229,2.2,6,13,16,340
0.5,4.2,137.7,1.2,4,3.15,4,100
2,4.2,138,1.5,4.7,13,8,230
1,4.2,184,1.3,5.5,5,4,150
2,4.2,143,2.2,5.2,13,16,270
2,4.2,130,1.7,4.7,10,16,250
0.25,2.3,112,1,3.5,2,0.5,70
0.25,2.3,-1,1,3.5,1.3,0.5,40
0.5,4,159,1,4.5,3.15,4,80
0.5,4.1,136.5,1,4,5,4,70
1,4.1,480,1.2,8,2,4,120
1,4.1,127.6,1.2,4.5,8,8,150
0.5,4.1,120,1,4.3,5,4,160
1,4.2,130,1.2,4.5,5,4,110
0.5,4.2,162,1.3,5,5,4,130
0.5,4.2,157,1.3,4.5,5,4,100
0.5,4.2,110,1.3,4,5,4,80
0.5,4.2,100,1,3.5,2,4,70
1,4.2,117.4,1.2,4.7,13,16,360
1,4.2,522,1.6,10,2,8,250
1,4.2,184,1.2,5.5,5,4,120
0.5,4.2,143.5,1.2,5,5,4,110
2,4.2,121,1.5,5,13,16,420
2,4.2,143,1.6,5.1,8,16,370
2,4.2,213,1.7,5.9,13,16,430
1,4.2,135,1.5,4.8,8,16,210
-1,4.2,155,-1,-1,8,-1,150
-1,4.2,190,-1,-1,8,-1,80
-1,4.2,123.3,-1,-1,5,-1,80
1,4.2,244.9,1.2,7,5,16,130
1,4.2,328,1.6,7,5,8,220
2,4.2,170,2.2,5,20.7,16,330
1,4.2,-1,1.2,8,5,16,170
1,4.2,560,1.2,10,5,16,190
2,4.2,177.6,1.5,6,13,8,370
1,4.2,472.4,1,8,2,8,120
1,4.2,350,1.6,8,5,16,150
0.5,4.2,-1,1.3,4.5,5,4,90
0.25,4.2,-1,1,4,3.15,0.5,50
1,4.2,130,1.4,4.5,5,8,230
2,4.2,338,1.7,8.3,5,16,300
2,4.2,145,2.2,5,13,16,730
2,4.3,145,2.3,5,13,16,200
3,4.3,168,2.3,5.7,13,16,420
3,4.3,540,2.3,10,8,16,370
2,-1,374,2.2,8.9,8,16,280
2,-1,303,2.2,7,1.3,16,170
1,-1,345,1.5,7,-1,8,100
1,4.1,131.9,1.5,4.6,8,4,220
1,4.1,149,1.2,5,8,8,220
1,4.1,159.9,1.2,4,5,4,230
1,4.2,323,1.3,7,-1,16,130
1,4.2,315,1.3,7,-1,8,100
1,4.2,380,1.6,7.9,5,16,130
0.5,4.2,150,1.3,5,5,4,170
1,4.2,189,1.3,5.5,8,4,140
1,4.2,285,1.3,7,2,4,160
1,4.2,155,1.3,5,8,4,120
0.5,4.2,174,1,5,3.15,4,70
1,4.2,166,1.3,5.5,8,4,130
1,4.2,135,1.5,4.8,8,16,160
1,4.2,404,1.2,8,5,8,360
1,4.2,109,1.3,4.7,8,4,130
1,4.2,144,1.5,5,12,4,140
0.5,4.2,-1,1.3,3.9,5,4,60
1,4.2,163.3,1.3,5,8,8,140
1,4.2,180,1.3,6,8,4,170
1,4.2,220,1.2,5.7,12,16,180
1,4.2,322,1.2,7,2,8,190
1,4.2,310,1.2,7,2,8,150
1,4.2,163,1.2,5,5,8,130
-1,4.2,112,-1,3.5,2,-1,40
-1,4.2,122,-1,4,2,-1,50
0.5,4.2,120,1.3,4,5,4,80
1,4.2,-1,1.3,4.5,8,4,120
2,4.2,133,1.5,5,13,16,210
1,4.2,114,1.2,4.7,8,4,180
2,4.2,125,2,5,13.1,16,290
0.5,4.2,-1,1.3,4.3,5,4,130
1,4.2,325,1.2,7,5,16,180
0.5,4.2,140,1.3,4.5,5,4,150
1,4.2,143,1.5,5,13,16,200
1,4.2,196,1.3,6,5,8,130
1,4.2,-1,1.3,4.7,8,4,170
0.5,4.2,-1,1.2,4.5,5,4,100
1,4.2,128,1.3,4.7,8,4,240
2,4.2,120,1.6,4.7,8,16,300
1,4.3,126,1.4,4.7,13,-1,260
1,4.3,160,1.2,6,5,16,270
1,4.3,350,1.2,7,3.15,-1,160
2,4.3,162.5,1.6,5.5,8,16,410
2,4.3,283,1.6,4.8,16.3,8,330
1,4.3,-1,1.4,5,8,8,140
2,4.3,150,2.3,5.5,13,16,250
1,4.3,171.7,1.4,6,13,8,230
2,4.3,162.5,1.3,5.5,8,16,320
1,4.3,116,1.6,4,8,8,210
0.5,4.3,122,1.2,4,3.15,4,120
0.5,4.3,120,1.2,4,3.15,4,140
2,4.3,162,2.2,5,20.7,32,260
1,4.3,115,1.2,4,5,-1,130
2,4.3,196,1.6,6,13,16,200
2,4.3,196,2,6,13,16,250
2,4.3,145,2,5,8,8,130
2,4.3,202,1.6,6.1,13,16,330
2,4.3,137,2.2,4.3,20.7,16,320
1,4.3,171.8,1.4,6,13,8,280
3,4.4,753,1.9,12,8,-1,640
3,4.4,750,1.9,12,8,-1,540
3,4.4,740,2.3,12,8,-1,500
3,4.4,732,1.9,12,8,-1,470
2,4.4,477,2.3,10,8,16,420
2,4.4,469,1.9,10,8,16,360
2,4.4,335,2.3,8.4,8,16,420
2,4.4,331,2.3,8.4,8,16,290
3,4.4,753,2.3,12,8,-1,670
1,4.4,279,1.2,7,3,4,190
